 ,,,,,,,
      (shillings million),,,,,,,
FISCAL YEAR,Treasury Bills*,Treasury Bonds,Government Stocks,Overdraft at Central Bank,Advances from Commercial Banks,Other Domestic Debt**,Total Domestic Debt***
2-Jan,"120,095.20","87,989.86","1,468.22",0,"2,456.93","10,700.78","222,711.00"
2-Feb,"120,784.05","92,040.56","1,468.22",0,"2,485.77","10,802.40","227,581.00"
2-Mar,"121,338.50","92,679.11","1,468.22",0,"2,718.87","10,962.29","229,167.00"
2-Apr,"119,203.60","98,164.78","1,468.22",0,"3,351.86","10,960.54","233,149.00"
2-May,"116,548.05","105,186.53","1,468.22",490.1,"3,440.91","4,639.19","231,773.00"
2-Jun,"118,050.00","106,332.99","1,468.22",0,"3,486.54","6,653.24","235,991.00"
2-Jul,"120,509.80","110,440.77","1,468.22","4,424.94","3,509.91","1,748.41","242,102.05"
2-Aug,"119,662.70","109,812.28","1,468.22","8,094.16","3,514.01","4,617.61","247,168.98"
2-Sep,"119,589.65","116,220.43","1,468.22","2,952.19","3,502.43","7,075.68","250,808.60"
2-Oct,"116,273.20","119,526.45","1,468.22","5,849.58","3,114.46","4,964.75","251,196.67"
2-Nov,"114,655.55","127,112.01","1,468.22","1,130.12","3,354.19","7,472.56","255,192.66"
2-Dec,"107,010.70","130,483.63","1,468.22","4,165.69","3,121.98","13,578.01","259,828.23"
3-Jan,"105,820.15","128,113.27","1,468.22","7,798.83","3,174.83","17,611.03","263,986.33"
3-Feb,"111,829.90","134,998.72","1,057.98","4,889.71","3,223.03","8,193.87","264,193.21"
3-Mar,"109,240.30","139,524.48","1,057.98","8,162.42","3,277.55","9,453.55","270,716.28"
3-Apr,"107,781.60","147,825.09","1,057.98","7,697.51","3,862.33","7,858.94","276,083.44"
3-May,"109,124.20","155,559.20","1,057.98","4,966.02","2,713.62","7,507.96","280,928.98"
3-Jun,"105,744.00","161,549.06","1,057.98","4,318.91","2,685.18","14,021.83","289,376.97"
3-Jul,"104,266.80","164,976.97","1,057.98","8,000.00","2,984.54","10,991.18","292,277.47"
3-Aug,"99,543.65","174,467.52","1,057.98","4,797.02","3,024.90","12,603.44","295,494.51"
3-Sep,"100,322.20","182,409.52","1,057.98","3,808.92","3,049.44","12,604.00","303,252.05"
3-Oct,"114,438.05","179,966.92","1,057.98","2,704.50","3,056.32",695.1977636,"301,918.96"
3-Nov,"116,904.00","179,181.60","1,057.98","3,272.13","2,620.29",512.3988788,"303,548.41"
3-Dec,"113,626.60","178,352.31","1,057.98","5,052.07","2,605.18",496.431807,"301,190.58"
4-Jan,"108,042.05","180,485.23","1,057.98","6,970.79","2,640.41",504.7970705,"299,701.26"
4-Feb,"104,639.00","182,814.48","1,057.98","9,162.72","2,709.98",523.7488368,"300,907.92"
4-Mar,"102,764.60","187,536.25","1,057.98","7,327.45","2,740.67",596.6266584,"302,023.58"
4-Apr,"101,235.70","185,521.91","1,057.98","9,232.14","2,797.20","1,332.43","301,177.37"
4-May,"98,891.65","187,427.28","1,057.98","8,104.07","2,761.38","1,104.93","299,347.29"
4-Jun,"99,835.75","188,625.99","1,057.98","9,232.14","2,774.47","4,708.32","306,234.66"
4-Jul,"100,994.45","191,903.35","1,057.98","6,388.96","2,819.47",297.9048091,"303,462.12"
4-Aug,"97,582.60","192,820.75","1,057.98","7,091.54","2,853.07",272.3892736,"301,678.34"
4-Sep,"98,912.75","187,446.45","1,057.98","9,232.14","2,860.93",235.3268149,"299,745.58"
4-Oct,"102,397.05","185,310.04","1,057.98","9,232.14","2,945.44",598.6404918,"301,541.30"
4-Nov,"107,770.00","181,057.52","1,057.98","9,232.14","2,939.17",487.0977459,"302,543.91"
4-Dec,"100,656.40","180,867.11","1,057.98","9,232.14","3,007.21",553.5884681,"295,374.44"
5-Jan,"95,927.70","181,103.13","1,057.98","9,232.14","3,033.59",868.1230856,"291,222.66"
5-Feb,"95,350.55","182,748.93","1,057.98","8,534.74","3,090.32","1,444.82","292,227.33"
5-Mar,"97,352.90","186,029.38","1,057.98","8,421.91","3,122.22",345.8188504,"296,330.22"
5-Apr,"98,645.40","194,154.07","1,057.98","8,908.70","3,121.39","1,273.08","307,160.62"
5-May,"99,930.60","192,583.01","1,057.98","7,694.45","3,256.47",453.137539,"304,975.65"
5-Jun,"107,838.30","193,357.81","1,057.98","5,225.31","2,539.04","5,554.06","315,572.50"
5-Jul,"113,460.20","198,255.76","1,057.98","8,344.18","2,555.60",353.6951946,"324,027.42"
5-Aug,"115,053.10","200,463.56","1,057.98","6,139.33","2,321.00",345.565678,"325,380.53"
5-Sep,"115,457.90","200,890.51","1,057.98","8,908.70","2,436.31",48.5757448,"328,799.98"
5-Oct,"113,706.50","204,172.56","1,057.98","8,908.70","2,404.89","2,475.02","332,725.65"
5-Nov,"113,349.05","206,980.30","1,057.98","8,908.70","2,559.33",646.1179766,"333,501.48"
5-Dec,"113,336.75","209,424.84","1,057.98","8,908.70","2,068.12",205.4920437,"335,001.89"
6-Jan,"115,474.50","209,250.69","1,057.98","5,796.63","2,112.36",258.6612891,"333,950.84"
6-Feb,"120,869.60","208,969.39","1,057.98","5,201.83","2,139.37",375.0556167,"338,613.23"
6-Mar,"120,848.50","210,323.79","1,057.98","11,323.87","2,185.53",324.3670857,"346,064.04"
6-Apr,"122,383.65","210,482.03","1,057.98","11,323.87","2,200.43",772.3968232,"348,220.36"
6-May,"128,210.65","211,961.76","1,057.98","5,645.16","2,257.88",356.4952226,"349,489.93"
6-Jun,"130,308.36","218,357.33","1,057.98","5,201.83","2,290.60",622.8586017,"357,838.95"
6-Jul,"131,808.81","220,556.58","1,057.98","7,432.42","2,305.13","1,674.80","364,835.71"
6-Aug,"133,720.71","223,527.83","1,057.98","7,890.07","2,342.69",-575.9616384,"367,963.31"
6-Sep,"134,083.76","229,950.32","1,057.98","3,668.91","2,373.18",457.3163264,"371,591.47"
6-Oct,"133,103.96","233,319.00","1,057.98","5,232.75","2,415.48",394.8559811,"375,524.02"
6-Nov,"132,391.05","236,042.80","1,057.98","8,855.36","2,472.73",214.9265754,"381,034.85"
6-Dec,"132,227.85","237,988.05",754.7043,"11,323.86","2,501.97",324.7898109,"385,121.22"
7-Jan,"130,373.15","244,086.15",754.7043,41.04620385,"2,531.50",341.0658826,"378,127.61"
7-Feb,"131,813.10","250,126.70",754.7043,41.04620385,"2,560.12",529.2711426,"385,824.93"
7-Mar,"133,858.60","248,592.82",754.7043,125.7235764,"2,681.81",274.0785703,"386,287.74"
7-Apr,"136,128.35","248,792.29",754.7043,41.04620385,"2,613.93","2,161.57","390,491.89"
7-May,"133,400.76","253,656.89",754.7043,41.04620385,"2,633.58",308.6368988,"390,795.61"
7-Jun,"129,970.26","272,199.74",754.7043,41.04620385,"1,066.11",658.2552216,"404,690.11"
7-Jul,"129,477.10","273,658.68",754.7043,"4,838.37","1,070.56",429.5965537,"410,229.01"
7-Aug,"127,691.25","277,300.69",754.7043,"7,526.91","1,086.30","1,555.19","415,915.04"
7-Sep,"130,559.75","280,902.69",754.7043,"13,268.82","1,065.21",270.1869982,"426,821.36"
7-Oct,"124,100.10","285,941.97",754.7043,"5,670.59","1,066.36",954.430312,"418,488.14"
7-Nov,"126,118.00","293,783.07",754.7043,"4,138.87","1,081.60",186.2011292,"426,062.44"
7-Dec,"126,375.05","304,676.55",754.7043,"1,992.08","1,083.24","3,177.48","438,059.11"
8-Jan,"118,984.00","303,630.15",754.7043,"8,229.71",6.054,579.2775436,"432,183.90"
8-Feb,"118,166.55","308,146.51",754.7043,"7,021.59",11.498,520.5365495,"434,621.39"
8-Mar,"122,866.80","309,874.96",754.7043,"8,141.88",17.679,"3,080.35","444,736.37"
8-Apr,"122,381.40","312,015.86",754.7043,"1,355.44",12.784,"1,350.75","437,870.94"
8-May,"117,900.00","318,334.09",754.7043,"5,108.79",423.413,163.7613418,"442,684.75"
8-Jun,"111,286.15","315,189.66",754.7043,0,426.915,"2,954.30","430,611.73"
8-Jul,"113,833.30","311,342.46",754.7043,"1,340.37",8.816,868.4823615,"428,148.13"
8-Aug,"116,864.80","312,555.76",754.7043,0.00187,29.694,"3,284.40","433,489.36"
8-Sep,"127,812.00","314,710.01",754.7043,"4,393.10",2.168,"1,661.86","449,333.84"
8-Oct,"124,265.80","315,013.81",754.7043,"14,071.82",8.458,571.3809118,"454,685.97"
8-Nov,"125,309.85","320,914.56",754.7043,"3,894.81",4.825,513.3436665,"451,392.10"
8-Dec,"121,345.45","318,613.11",754.7043,"15,092.90",4.822,416.9269888,"456,227.91"
9-Jan,"127,625.35","320,628.46",754.7043,"4,712.53",7.909,537.492509,"454,266.44"
9-Feb,"130,813.20","330,163.46",754.7043,"16,882.64",7.028,275.3927446,"478,896.43"
9-Mar,"133,066.55","334,418.21",754.7043,"6,198.69",6.851,304.8043604,"474,749.81"
9-Apr,"138,870.60","343,454.86",754.7043,"12,371.31",25.403,"1,973.29","497,450.16"
9-May,"132,957.55","348,318.01",754.7043,"6,703.09",100.621,400.4099954,"489,234.39"
9-Jun,"150,122.30","360,743.95",754.7043,"5,124.38",93.189,"1,500.20","518,338.72"
9-Jul,"154,148.25","371,205.25",754.7043,"3,909.48",69.724,313.5571077,"530,400.97"
9-Aug,"160,943.45","378,476.75",754.7043,"6,148.34",104.7423125,754.3765965,"547,182.36"
